Mark,Medal,Temp,Gender,Seconds
2:21:01,FALSE,84,M,8461
2:21:13,FALSE,84,M,8473
2:21:14,FALSE,84,M,8474
2:21:23,FALSE,84,M,8483
2:21:42,FALSE,84,M,8502
2:21:53,FALSE,84,M,8513
2:21:59,FALSE,84,M,8519
2:22:09,FALSE,84,M,8529
2:22:32,FALSE,84,M,8552
2:22:37,FALSE,84,M,8557
2:22:49,FALSE,84,M,8569
2:23:07,FALSE,84,M,8587
2:23:26,FALSE,84,M,8606
2:23:34,FALSE,84,M,8614
2:23:34,FALSE,84,M,8614
2:23:54,FALSE,84,M,8634
2:23:55,FALSE,84,M,8635
2:24:54,FALSE,84,M,8694
2:25:20,FALSE,84,M,8720
2:25:26,FALSE,84,M,8726
2:25:29,FALSE,84,M,8729
2:26:05,FALSE,84,M,8765
2:27:12,FALSE,84,M,8832
2:27:13,FALSE,84,M,8833
2:27:17,FALSE,84,M,8837
2:27:31,FALSE,84,M,8851
2:28:18,FALSE,84,M,8898
2:29:07,FALSE,84,M,8947
2:29:43,FALSE,84,M,8983
2:30:19,FALSE,84,M,9019
2:31:12,FALSE,84,M,9072
2:31:41,FALSE,84,M,9101
2:31:51,FALSE,84,M,9111
2:33:02,FALSE,84,M,9182
2:33:24,FALSE,84,M,9204
2:34:02,FALSE,84,M,9242
2:34:02,FALSE,84,M,9242
2:36:22,FALSE,84,M,9382
2:40:10,FALSE,84,M,9610
2:44:19,FALSE,84,M,9859
2:50:26,FALSE,84,M,10226
2:26:44,TRUE,76,F,8804
2:27:06,TRUE,76,F,8826
2:27:07,TRUE,76,F,8827
2:27:16,FALSE,76,F,8836
2:27:23,FALSE,76,F,8843
2:27:29,FALSE,76,F,8849
2:27:31,FALSE,76,F,8851
2:27:51,FALSE,76,F,8871
2:28:29,FALSE,76,F,8909
2:29:28,FALSE,76,F,8968
2:29:33,FALSE,76,F,8973
2:30:01,FALSE,76,F,9001
2:30:19,FALSE,76,F,9019
2:30:55,FALSE,76,F,9055
2:31:16,FALSE,76,F,9076
2:31:16,FALSE,76,F,9076
2:31:31,FALSE,76,F,9091
2:31:41,FALSE,76,F,9101
2:31:47,FALSE,76,F,9107
2:31:48,FALSE,76,F,9108
2:32:06,FALSE,76,F,9126
2:32:16,FALSE,76,F,9136
2:32:38,FALSE,76,F,9158
2:32:39,FALSE,76,F,9159
2:33:07,FALSE,76,F,9187
2:33:12,FALSE,76,F,9192
2:33:13,FALSE,76,F,9193
2:33:29,FALSE,76,F,9209
2:33:31,FALSE,76,F,9211
2:33:32,FALSE,76,F,9212
2:33:35,FALSE,76,F,9215
2:34:08,FALSE,76,F,9248
2:34:16,FALSE,76,F,9256
2:34:35,FALSE,76,F,9275
2:34:51,FALSE,76,F,9291
2:34:52,FALSE,76,F,9292
2:35:09,FALSE,76,F,9309
2:35:17,FALSE,76,F,9317
2:35:19,FALSE,76,F,9319
2:35:22,FALSE,76,F,9322
2:35:35,FALSE,76,F,9335
2:35:47,FALSE,76,F,9347
2:35:53,FALSE,76,F,9353
2:36:10,FALSE,76,F,9370
2:36:25,FALSE,76,F,9385
2:36:25,FALSE,76,F,9385
2:37:03,FALSE,76,F,9423
2:37:04,FALSE,76,F,9424
2:37:10,FALSE,76,F,9430
2:37:12,FALSE,76,F,9432
2:06:32,TRUE,90,M,7592
2:07:16,TRUE,90,M,7636
2:10:00,TRUE,90,M,7800
2:10:21,FALSE,90,M,7821
2:10:24,FALSE,90,M,7824
2:10:35,FALSE,90,M,7835
2:10:52,FALSE,90,M,7852
2:11:11,FALSE,90,M,7871
2:11:59,FALSE,90,M,7919
2:12:33,FALSE,90,M,7953
2:13:17,FALSE,90,M,7997
2:13:25,FALSE,90,M,8005
2:13:26,FALSE,90,M,8006
2:13:33,FALSE,90,M,8013
2:13:39,FALSE,90,M,8019
2:14:00,FALSE,90,M,8040
2:14:22,FALSE,90,M,8062
2:14:37,FALSE,90,M,8077
2:14:44,FALSE,90,M,8084
2:15:00,FALSE,90,M,8100
2:15:57,FALSE,90,M,8157
2:16:07,FALSE,90,M,8167
2:16:10,FALSE,90,M,8170
2:16:14,FALSE,90,M,8174
2:16:17,FALSE,90,M,8177
2:17:42,FALSE,90,M,8262
2:17:50,FALSE,90,M,8270
2:17:56,FALSE,90,M,8276
2:18:11,FALSE,90,M,8291
2:18:15,FALSE,90,M,8295
2:18:26,FALSE,90,M,8306
2:18:40,FALSE,90,M,8320
2:19:08,FALSE,90,M,8348
2:19:43,FALSE,90,M,8383
2:20:15,FALSE,90,M,8415
2:20:23,FALSE,90,M,8423
2:20:24,FALSE,90,M,8424
2:20:25,FALSE,90,M,8425
2:20:30,FALSE,90,M,8430
2:21:16,FALSE,90,M,8476
2:21:18,FALSE,90,M,8478
2:21:51,FALSE,90,M,8511
2:21:57,FALSE,90,M,8517
2:22:43,FALSE,90,M,8563
2:23:09,FALSE,90,M,8589
2:23:20,FALSE,90,M,8600
2:23:24,FALSE,90,M,8604
2:23:47,FALSE,90,M,8627
2:23:54,FALSE,90,M,8634
2:23:57,FALSE,90,M,8637
2:24:08,FALSE,90,M,8648
2:24:19,FALSE,90,M,8659
2:24:28,FALSE,90,M,8668
2:24:48,FALSE,90,M,8688
2:25:03,FALSE,90,M,8703
2:25:11,FALSE,90,M,8711
2:25:50,FALSE,90,M,8750
2:26:29,FALSE,90,M,8789
2:26:55,FALSE,90,M,8815
2:27:17,FALSE,90,M,8837
2:28:04,FALSE,90,M,8884
2:28:14,FALSE,90,M,8894
2:28:26,FALSE,90,M,8906
2:28:40,FALSE,90,M,8920
2:29:05,FALSE,90,M,8945
2:29:28,FALSE,90,M,8968
2:29:37,FALSE,90,M,8977
2:29:55,FALSE,90,M,8995
2:30:07,FALSE,90,M,9007
2:30:26,FALSE,90,M,9026
2:31:43,FALSE,90,M,9103
2:32:35,FALSE,90,M,9155
2:33:32,FALSE,90,M,9212
